unicef_region,year,vaccine,vaccine_code,vaccine_name,vaccine_description,coverage
WCAR,2015,HPV,15HPVC_F,"HPVc Females, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Females),0
WCAR,2016,HPV,15HPVC_F,"HPVc Females, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Females),0
WCAR,2017,HPV,15HPVC_F,"HPVc Females, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Females),0
WCAR,2018,HPV,15HPVC_F,"HPVc Females, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Females),0
WCAR,2019,HPV,15HPVC_F,"HPVc Females, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Females),0
WCAR,2020,HPV,15HPVC_F,"HPVc Females, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Females),0
WCAR,2021,HPV,15HPVC_F,"HPVc Females, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Females),0
WCAR,2022,HPV,15HPVC_F,"HPVc Females, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Females),0
WCAR,2023,HPV,15HPVC_F,"HPVc Females, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Females),0
WCAR,2024,HPV,15HPVC_F,"HPVc Females, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Females),12
WCAR,2010,HPV,15HPVC_M,"HPVc Males, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Males),0
WCAR,2011,HPV,15HPVC_M,"HPVc Males, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Males),0
WCAR,2012,HPV,15HPVC_M,"HPVc Males, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Males),0
WCAR,2013,HPV,15HPVC_M,"HPVc Males, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Males),0
WCAR,2014,HPV,15HPVC_M,"HPVc Males, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Males),0
WCAR,2015,HPV,15HPVC_M,"HPVc Males, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Males),0
WCAR,2016,HPV,15HPVC_M,"HPVc Males, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Males),0
WCAR,2017,HPV,15HPVC_M,"HPVc Males, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Males),0
WCAR,2018,HPV,15HPVC_M,"HPVc Males, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Males),0
